15_05_17:39 __main__ INFO: Loaded test dataset for protocol 2 with len:18800, labels:11
15_05_17:39 __main__ INFO: Loading base models for protocol 2, bce
15_05_17:39 __main__ INFO: Taking model from epoch 50 that achieved best score 0.9911968253968254
15_05_17:39 __main__ INFO: Extracting base scores for protocol 2, bce
15_05_17:40 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_4.npz
15_05_17:40 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_5.npz
15_05_17:40 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_6.npz
15_05_17:40 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_7.npz
15_05_17:40 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_8.npz
15_05_17:40 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_9.npz
15_05_17:40 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_10.npz
15_05_17:40 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_11.npz
15_05_17:40 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_12.npz
15_05_17:40 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_13.npz
15_05_17:40 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_14.npz
15_05_17:40 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_15.npz
15_05_17:41 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_16.npz
15_05_17:41 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_17.npz
15_05_17:41 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_18.npz
15_05_17:41 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_19.npz
15_05_17:41 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_20.npz
15_05_17:41 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_21.npz
15_05_17:41 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_22.npz
15_05_17:41 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_23.npz
15_05_17:41 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_24.npz
15_05_17:41 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_25.npz
15_05_17:41 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_26.npz
15_05_17:42 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_27.npz
15_05_17:42 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_28.npz
15_05_17:42 __main__ INFO: Target labels, logits, features and scores saved in: experiments/ex_1/net_1/bce_binary_ensemble_combined_emnist_test_arr_curr_hamming_29.npz
